"adamsnipe", "Blue", "Red", "Yellow", "Green"
"avhotel_b1", "Blue", "Red", "Yellow", "Green"
"well", "Blue", "Red", "Yellow", "Green"
"matclub", "DJs", "Bartenders", "Effects guys", "L33T Dancers"
"maze4", "Blue", "Red", "Yellow", "Green"
"run", "Blue", "Red", "Yellow", "Green"
"2fort", "Blue", "Red", "Yellow", "Green"
"push", "Blue", "Red", "Yellow", "Green"
"freakle3", "Lab Rats", "Scientists", "BOFH", "Green"
"avmar", "Blue", "Marlak 0wnz", "Yellow", "Green"
"skyd2", "Plane Jumpers", "X", "X", "X"
"rock2", "Blue Dudes", "Red Dudes", "MagicMen", "Homer Gods"
"heatav1", "Pool Bums", "Red", "Yellow", "Green"
"crossover2", "Blue", "Red", "Yellow", "Green"
"llamaball_b1", "Blue", "Red", "Yellow", "Green"
"strike2", "Blue", "Red", "Yellow", "Green"
"avcon", "Blue", "Red", "Yellow", "Green"
"fish1", "Fish", "Watchers", "Yellow", "Green"
"nuclear", "Blue", "Red", "Yellow", "Green"
"datacore", "Blue", "Red", "Yellow", "Green"
"pull", "Wizards", "Assasins", "Yellow", "Green"
"mooncheese", "Blue", "Red", "Yellow", "Green"
"nml2", "Blue", "Red", "Yellow", "Green"
"avsp", "Gordons", "Scientists", "Yellow", "Green"
"bdarbtl2", "Blue", "Red", "Yellow", "Green"
"totalwar", "Blue", "Red", "Yellow", "Green"
"dustbowl", "#Dustbowl_team1", "#Dustbowl_team2", "Yellow", "Green"
"flagrun", "Blue", "Red", "Yellow", "Green"
"grinder2", "Americans", "Assassins", "Canadians", "Green"
"doublecross", "Blue", "Red", "Yellow", "Green"
"avanti", "Blue", "Red", "Yellow", "Green"
"subtransit", "Blue", "Red", "Yellow", "Green"
"jumpers", "Jumpers", "Watchers", "Yellow", "Green"
"tothetop", "The Team", "X", "X", "X"
"totop2", "The Team", "X", "X", "X"
"tiger", "Wehrmacht", "GIs", "Yellow", "Green"
"mulch_dm", "Blue", "Red", "Yellow", "Green"
"mulch_trench", "Blue", "Red", "Yellow", "Green"
"ratsxl", "Bathroom Blue", "Kitchen Red", "Yellow", "Green"
"avboodiddly", "Blue", "Red", "Yellow", "Green"
"spacedout", "Blue", "Red", "Yellow", "Green"
"avfish2b", "Fish", "Watchers", "Yellow", "Green"
"frogger_b1", "Froggers!", "Red", "Yellow", "Green"
"llamaball_b2", "Team l33t", "Team ROFL", "The BALL!", "Green"
"bowlarama", "Balls", "Bowlers", "Staff", "Green"
"av15min", "Blue", "Red", "Yellow", "Green"
"nml3", "Blue", "Red", "Yellow", "Green"
"erratica", "Blue Slime", "Red Slime", "Yellow", "Green"
"avtoast", "Blue", "Red", "Yellow", "Green"
"theretreat", "Blue", "Red", "Yellow", "Green"
"hunted", "EvilPrez", "Assassins", "Assassassins", "Gods"
"crossfire", "Blue", "Red", "Yellow", "Green"
"s-xpress", "Blue", "Red", "Yellow", "Green"
"casbah", "Blue", "Red", "Yellow", "Green"
"club2000", "We Love Toast", "Employees", "Yellow", "Green"
"gasworks", "Blue", "Red", "Yellow", "Green"
"fortsake2", "Blue", "Red", "Yellow", "Green"
"avbar1", "Cool People", "Idiots", "Yellow", "Green"
"freakle", "Lab Rats", "Scientists", "Yellow", "Green"
"bam", "Blue", "Red", "Yellow", "Green"
"cz2", "Blue", "Red", "Yellow", "Green"
"avtotop3", "The Team", "X", "X", "X"
"mortararena", "Blue Fortress", "Red Skull", "Yellow", "Green"
"xenophobia", "Blue Guys", "Red Guys", "Los Prezidentes", "Green"
"grinder", "Red", "Controller", "Green", "Green"
"hilltop", "Blue", "Red", "Yellow", "Green"
"avoffice", "Workers", "X", "X", "X"
"dethwell", "Blue", "Red", "Yellow", "Green"
"lambda_bunker", "Blue", "Red", "Yellow", "Green"
"avpiracy", "Blue", "Red", "Yellow", "Green"
"battlerm2", "Blue", "Red", "Yellow", "Green"
"forever2", "Blue", "Red", "Yellow", "Green"
"srace_b1", "Blue", "Red", "Yellow", "Green"
"warpath", "Blue", "Red", "Yellow", "Green"
"donut_sumo", "Blue Sumos", "Red Sumos", "Yellow Specs", "Green"
"something4", "Blue", "Red", "Yellow", "Green"
"titanic", "Blue", "Red", "Yellow", "Green"
"overlook", "Riflemen", "Headshots", "Yellow", "Green"
"beta_impossible", "ACCEPT", "DECLINE", "Yellow", "Green"
"rit_b3", "Blue", "Red", "Yellow", "Green"
"bigpit3", "Blue", "Red", "Yellow", "Green"
"theft", "Blue", "Red", "Yellow", "Green"
"grabflag_b1", "Blue", "Red", "Yellow", "Green"
"mbox", "Blue", "Red", "Yellow", "Green"
"skyd1", "Plane Jumpers", "X", "X", "X"
"aurora", "Map by: Adam", "StarFleet Officers", "The Borg", "Holograms"
"void", "Blue", "Red", "Yellow", "Green"
"beamup6", "Blue", "Red", "Yellow", "Green"
"bounce", "Blue", "Red", "Yellow", "Green"
"fishinabarrel_beta01", "Blue", "Red", "Yellow", "Green"
"trainwar3", "Blue", "Red", "Yellow", "Green"
"freakle2", "Lab Rats", "Scientists", "Yellow", "Green"
"creek", "Blue", "Red", "Yellow", "Green"
"gulch", "Blue", "Red", "Yellow", "Green"
"invect3", "Blue", "Red", "Yellow", "Green"
